archivo,linea,color,contexto,componente
GesmedWeb/componentes/dialogos.py,1348,black,Label Observaciones no médicas en formulario editar paciente,rx.text
GesmedWeb/componentes/dialogos.py,1361,red (color_scheme),Callout de error al guardar datos de paciente,rx.callout icon=triangle_alert
GesmedWeb/componentes/dialogos.py,1365,green (color_scheme),Callout de éxito al guardar datos de paciente,rx.callout icon=circle_check
GesmedWeb/componentes/dialogos.py,1369,gray (color_scheme),Botón Salir en diálogo editar paciente,rx.button variant=soft
GesmedWeb/componentes/dialogos.py,1376,indigo (color_scheme),Botón Editar en diálogo editar paciente (modo lectura),rx.button
GesmedWeb/componentes/dialogos.py,1387,green (color_scheme),Botón Grabar Cambios en diálogo editar paciente (modo edición),rx.button
GesmedWeb/componentes/dialogos.py,1390,green (color_scheme),Botón Grabar Cambios deshabilitado en diálogo editar paciente,rx.button disabled=True
GesmedWeb/componentes/dialogos.py,1434,green (color_scheme),Botón Guardar Diagnóstico en diálogo nuevo diagnóstico,rx.button
GesmedWeb/componentes/dialogos.py,1487,black,Label Buscar Diagnóstico CIE10 en diálogo nuevo diagnóstico,rx.text
GesmedWeb/componentes/dialogos.py,1534,green (color_scheme),Badge con el código CIE10 seleccionado en diálogo nuevo diagnóstico,rx.badge
GesmedWeb/componentes/dialogos.py,1551,black,Label Tipo en diálogo nuevo diagnóstico,rx.text
GesmedWeb/componentes/dialogos.py,1571,black,Label Fecha Diagnóstico en diálogo nuevo diagnóstico,rx.text
GesmedWeb/componentes/dialogos.py,1587,black,Label Fecha Inicio Aparente en diálogo nuevo diagnóstico,rx.text
GesmedWeb/componentes/dialogos.py,1607,black,Label Observaciones en diálogo nuevo diagnóstico,rx.text
GesmedWeb/componentes/dialogos.py,1624,red (color_scheme),Callout de error al guardar diagnóstico,rx.callout
GesmedWeb/componentes/dialogos.py,1644,green (color_scheme),Botón Guardar Diagnóstico (pie de diálogo),rx.button
GesmedWeb/componentes/dialogos.py,1680,white,Texto del botón Nuevo Diagnóstico en diálogo vincular,rx.button
GesmedWeb/componentes/dialogos.py,1692,gray,Descripción instruccional en diálogo vincular diagnóstico,rx.dialog.description
GesmedWeb/componentes/dialogos.py,1740,red,Callout/texto de error en diálogo vincular diagnóstico,rx.callout variant=soft
GesmedWeb/componentes/dialogos.py,1747,gray (color_scheme),Botón Cancelar en diálogo vincular diagnóstico,rx.button variant=soft
GesmedWeb/componentes/dialogos.py,1752,blue (color_scheme),Botón Confirmar Vínculos en diálogo vincular diagnóstico,rx.button
GesmedWeb/componentes/dialogos.py,1777,green,Ícono de confirmación de vínculos guardados,rx.icon name=circle_check
GesmedWeb/componentes/dialogos.py,1790,green (color_scheme),Botón Listo en diálogo confirmación de vínculos OK,rx.button
GesmedWeb/componentes/dialogos.py,1826,#025BFF,Color del botón + para agregar examen al pedido,rx.button variant=ghost (en _fila_examen_disponible)
GesmedWeb/componentes/dialogos.py,1871,rgba(220,38,38,0.06),Hover de fila de examen seleccionado en tabla derecha pedido,rx.table.row _hover (en _fila_examen_seleccionado)
GesmedWeb/componentes/dialogos.py,1890,rgba(0,0,0,0.2),Overlay oscuro al abrir offcanvas_pedido_examenes,rx.box (overlay fijo full-screen)
GesmedWeb/componentes/dialogos.py,1926,#06B6D4,Fondo del botón Imprimir Pedido (cyan) en cabecera pedido examenes,rx.button
GesmedWeb/componentes/dialogos.py,1927,white,Texto del botón Imprimir Pedido,rx.button
GesmedWeb/componentes/dialogos.py,1943,white,Texto del botón Editar Pedido,rx.button
GesmedWeb/componentes/dialogos.py,1956,white,Texto del botón Guardar Cambios / Grabar Pedido,rx.button
GesmedWeb/componentes/dialogos.py,2196,rgba(0,0,0,0.2),Overlay oscuro al abrir offcanvas_resultados_examenes,rx.box (overlay fijo full-screen)
GesmedWeb/componentes/dialogos.py,2227,gray,Texto placeholder de offcanvas resultados exámenes (en construcción),rx.text
GesmedWeb/componentes/componentes.py,46,black,Texto del motivo_consulta en encabezado del acordeón historial,rx.text (en rx.accordion.item header)
GesmedWeb/componentes/componentes.py,47,grey,Texto del objetivo en contenido del acordeón historial,rx.text (en rx.accordion.item content)
GesmedWeb/componentes/componentes.py,123,cyan (color_scheme),Botón Nuevo para abrir diálogo nuevo diagnóstico en tabla diagnósticos,rx.button
GesmedWeb/componentes/componentes.py,401,blue,Color de pestaña A. Familiares en tabs antecedentes,rx.tabs.trigger (style dict)
GesmedWeb/componentes/componentes.py,411,green,Color de pestaña A. Personales en tabs antecedentes,rx.tabs.trigger (style dict)
GesmedWeb/componentes/componentes.py,483,red (color_scheme),Badge de advertencia alergia en prescripción campo solo lectura,rx.badge variant=soft
GesmedWeb/componentes/componentes.py,492,black,Color texto del badge-label en campo SOAP solo lectura (_soap_campo_ro),rx.badge variant=solid
GesmedWeb/componentes/componentes.py,520,grass (color_scheme),Badge cantidad de ítem prescripción en vista solo lectura,rx.badge variant=soft
GesmedWeb/componentes/componentes.py,540,#016b3bae,Border color de la tarjeta de ítem prescripción en vista solo lectura,rx.box (card item prescripción)
GesmedWeb/componentes/componentes.py,541,#FFFFFF,Fondo de la tarjeta de ítem prescripción en vista solo lectura,rx.box (card item prescripción)
GesmedWeb/componentes/componentes.py,617,gray (color_scheme),Badge hace X tiempo en cabecera historia (_historia_header),rx.badge variant=soft
GesmedWeb/componentes/componentes.py,652,red,Color pestaña SOAP en tabs panel historia atencion,rx.tabs.trigger (style dict)
GesmedWeb/componentes/componentes.py,656,green,Color pestaña Prescripción en tabs panel historia atencion,rx.tabs.trigger (style dict)
GesmedWeb/componentes/componentes.py,660,blue,Color pestaña Pedidos en tabs panel historia atencion,rx.tabs.trigger (style dict)
GesmedWeb/componentes/componentes.py,664,orange,Color pestaña Resultados en tabs panel historia atencion,rx.tabs.trigger (style dict)
GesmedWeb/componentes/componentes.py,708,white,Fondo del panel fijo de historia de atención (con contenido),rx.box position=fixed
GesmedWeb/componentes/componentes.py,726,white,Fondo del panel fijo de historia de atención (sin selección),rx.box position=fixed
GesmedWeb/componentes/componentes.py,766,white,Fondo del panel fijo en panel historial prescripciones,rx.box position=fixed
GesmedWeb/paginas/atencion.py,183,rgb(240,240,240),Fondo del panel sidebar lateral,rx.box position=fixed
GesmedWeb/paginas/atencion.py,205,white,Fondo del panel detalle de atención (panel derecho),rx.box position=fixed
GesmedWeb/paginas/atencion.py,296,#ddd,Borde del input de búsqueda busca_historial,rx.input id=busca_historial
GesmedWeb/paginas/atencion.py,316,#888,Color del texto (placeholder style) del input busca_historial,rx.input id=busca_historial
GesmedWeb/paginas/atencion.py,406,blue,Color de pestaña A. Familiares en tabs antecedentes (duplicado en página),rx.tabs.trigger (style dict)
GesmedWeb/paginas/atencion.py,416,green,Color de pestaña A. Personales en tabs antecedentes (duplicado en página),rx.tabs.trigger (style dict)
GesmedWeb/paginas/atencion.py,477,white,Fondo de la barra inferior fija con nombre médico,rx.box position=fixed bottom=0
GesmedWeb/paginas/atencion.py,480,black,Texto del nombre del médico en barra inferior fija,rx.text
GesmedWeb/paginas/atencion.py,520,blue,Enlace Vuelva a Ingresar en caja de sesión caducada,rx.link
GesmedWeb/paginas/lista_pacientes.py,54,red,Fondo del botón Cerrar Sesión en menú usuario,rx.button
GesmedWeb/paginas/lista_pacientes.py,55,white,Texto del botón Cerrar Sesión,rx.button
GesmedWeb/paginas/lista_pacientes.py,81,gray,Texto del nombre del médico en pie del menú usuario,rx.text
GesmedWeb/paginas/lista_pacientes.py,88,#f8fafc,Fondo del área footer del menú usuario (contiene logout),rx.box
GesmedWeb/paginas/lista_pacientes.py,95,blue,Enlace Vuelva a Ingresar en caja de sesión caducada,rx.link
GesmedWeb/paginas/lista_pacientes.py,99,#FAECA2,Fondo de la caja de aviso sesión caducada,rx.box
